descricaoEmpresaTI,descritivoSoftware,nomeEnte,codigoUnidade,nomeUnidade,descricaoTipoUnidade,Assunto,ultimoEnvio,ultimoanomes
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,15334,Fundo Municipal de Saúde de Abdon Batista ,Fundo,Execução Orçamentária,2025-05-28 16:56:25.633,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,15334,Fundo Municipal de Saúde de Abdon Batista ,Fundo,Licitações,2025-05-14 16:40:28.523,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,15334,Fundo Municipal de Saúde de Abdon Batista ,Fundo,Registros Contábeis,2025-05-13 13:11:59.037,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Atos de Pessoal,2025-05-27 13:33:15.950,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Concursos,2025-04-15 11:27:06.500,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Contratos,2025-05-30 15:43:23.770,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Convênios,2025-04-17 11:23:58.910,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Execução Orçamentária,2025-05-28 17:03:44.230,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Folha de Pagamento,2025-06-03 08:59:31.563,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Licitações,2025-06-03 16:52:04.540,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Plano de Cargos,2025-06-01 17:21:17.427,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Registros Contábeis,2025-05-14 08:10:03.130,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ABDON BATISTA,11116,Prefeitura Municipal de Abdon Batista ,Administração Direta,Tributário,2025-06-03 15:14:56.630,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Atos de Pessoal,2025-02-10 14:02:09.390,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Contratos,2025-04-22 11:40:01.017,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Execução Orçamentária,2025-06-02 09:01:29.673,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Folha de Pagamento,2025-06-02 10:10:31.993,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Gestão Fiscal,2025-05-05 14:16:36.630,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Licitações,2025-05-12 10:36:52.960,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Plano de Cargos,2025-05-02 13:24:51.757,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,AGROLÂNDIA,33065,Câmara Municipal de Agrolândia ,Câmara de Vereadores,Registros Contábeis,2025-05-05 10:31:13.327,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Atos de Pessoal,2025-05-19 18:02:18.403,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Contratos,2025-04-10 10:32:00.993,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Execução Orçamentária,2025-06-02 17:33:11.030,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Folha de Pagamento,2025-05-19 18:02:29.920,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Gestão Fiscal,2025-05-26 16:11:47.973,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Licitações,2025-05-23 14:48:53.387,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Plano de Cargos,2025-06-01 11:15:49.197,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,31127,Câmara Municipal de Água Doce ,Câmara de Vereadores,Registros Contábeis,2025-06-03 14:36:33.803,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,80677,Controle Interno do Municipio de Água Doce,Unidade Central,Gestão Fiscal,2025-05-22 17:04:06.313,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,80677,Controle Interno do Municipio de Água Doce,Unidade Central,LDO,2025-01-27 14:56:11.973,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,80677,Controle Interno do Municipio de Água Doce,Unidade Central,LOA,2025-06-02 15:29:29.290,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,70019,Fundo da Infância e da Adolescência do Município de Água Doce,Fundo,Convênios,2025-05-19 17:43:30.190,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,70019,Fundo da Infância e da Adolescência do Município de Água Doce,Fundo,Execução Orçamentária,2025-05-31 09:07:17.010,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,70019,Fundo da Infância e da Adolescência do Município de Água Doce,Fundo,Licitações,2025-05-22 09:33:49.090,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,70019,Fundo da Infância e da Adolescência do Município de Água Doce,Fundo,Registros Contábeis,2025-05-21 10:45:02.940,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,19305,Fundo do Sistema Municipal de Assistência de Água Doce ,Fundo,Contratos,2025-03-06 08:25:07.753,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,19305,Fundo do Sistema Municipal de Assistência de Água Doce ,Fundo,Execução Orçamentária,2025-05-22 19:40:10.170,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,19305,Fundo do Sistema Municipal de Assistência de Água Doce ,Fundo,Licitações,2025-05-06 13:31:58.473,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,19305,Fundo do Sistema Municipal de Assistência de Água Doce ,Fundo,Registros Contábeis,2025-05-14 19:39:38.743,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,25714,Fundo Municipal de Assistência Social de Água Doce ,Fundo,Contratos,2025-05-15 08:10:02.553,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,25714,Fundo Municipal de Assistência Social de Água Doce ,Fundo,Convênios,2025-01-21 10:49:10.337,202412
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,25714,Fundo Municipal de Assistência Social de Água Doce ,Fundo,Execução Orçamentária,2025-05-30 19:50:39.330,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,25714,Fundo Municipal de Assistência Social de Água Doce ,Fundo,Licitações,2025-05-27 14:48:04.873,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,25714,Fundo Municipal de Assistência Social de Água Doce ,Fundo,Registros Contábeis,2025-05-21 10:34:19.313,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,70043,Fundo Municipal de Defesa Civil de Água Doce ,Fundo,Execução Orçamentária,2025-06-03 11:23:41.423,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,70043,Fundo Municipal de Defesa Civil de Água Doce ,Fundo,Registros Contábeis,2025-05-07 15:53:17.490,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,20761,Fundo Municipal de Saúde do Município de Água Doce ,Fundo,Contratos,2025-05-22 07:47:42.583,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,20761,Fundo Municipal de Saúde do Município de Água Doce ,Fundo,Convênios,2025-02-20 08:07:19.497,202412
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,20761,Fundo Municipal de Saúde do Município de Água Doce ,Fundo,Execução Orçamentária,2025-05-30 19:33:56.027,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,20761,Fundo Municipal de Saúde do Município de Água Doce ,Fundo,Licitações,2025-04-14 15:12:07.153,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,20761,Fundo Municipal de Saúde do Município de Água Doce ,Fundo,Registros Contábeis,2025-05-29 14:18:31.320,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Atos de Pessoal,2025-05-23 16:44:32.620,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Concursos,2025-05-23 16:44:17.550,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Contratos,2025-06-03 07:53:23.470,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Convênios,2025-03-19 17:29:28.453,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Execução Orçamentária,2025-05-30 22:11:12.223,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Folha de Pagamento,2025-05-28 15:40:33.653,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Licitações,2025-05-30 16:42:04.587,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Plano de Cargos,2025-06-02 08:03:01.560,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Registros Contábeis,2025-05-09 13:55:59.073,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUA DOCE,10677,Prefeitura Municipal de Água Doce ,Administração Direta,Tributário,2025-06-03 15:01:10.733,202502
Betha Sistemas,Atos de Pessoal,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Atos de Pessoal,2025-03-07 14:39:57.797,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Atos de Pessoal,2025-05-09 15:53:30.503,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Execução Orçamentária,2025-05-28 17:07:06.913,202505
Betha Sistemas,Atos de Pesoal,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Folha de Pagamento,2025-01-10 15:00:25.360,202412
Betha Sistemas,Atos de Pessoal,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Folha de Pagamento,2025-03-07 14:59:49.273,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Folha de Pagamento,2025-05-09 16:40:24.953,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Gestão Fiscal,2025-05-22 09:50:34.413,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Licitações,2025-05-09 16:36:15.360,202505
Betha Sistemas,Atos de Pessoal,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Plano de Cargos,2025-02-03 17:07:22.037,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Plano de Cargos,2025-05-13 10:51:38.740,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,32255,Câmara Municipal de Águas de Chapecó ,Câmara de Vereadores,Registros Contábeis,2025-05-05 08:08:33.677,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,81827,Controle Interno do Municipio de Águas de Chapecó,Unidade Central,Gestão Fiscal,2025-05-22 09:16:32.883,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,81827,Controle Interno do Municipio de Águas de Chapecó,Unidade Central,LOA,2025-05-13 14:32:51.797,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,81827,Controle Interno do Municipio de Águas de Chapecó,Unidade Central,PPA,2025-01-10 08:02:45.167,202412
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,16918,Fundo Municipal de Saúde de Águas de Chapecó ,Fundo,Contratos,2025-05-27 08:37:43.830,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,16918,Fundo Municipal de Saúde de Águas de Chapecó ,Fundo,Execução Orçamentária,2025-06-02 20:07:24.237,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,16918,Fundo Municipal de Saúde de Águas de Chapecó ,Fundo,Licitações,2025-06-03 09:34:23.220,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,16918,Fundo Municipal de Saúde de Águas de Chapecó ,Fundo,Registros Contábeis,2025-05-20 10:19:55.990,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Atos de Pessoal,2025-06-02 09:26:11.513,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Concursos,2025-04-03 11:09:22.877,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Contratos,2025-05-29 15:48:42.020,202505
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Execução Orçamentária,2025-06-02 20:01:55.430,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Folha de Pagamento,2025-06-02 09:26:27.130,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Licitações,2025-06-03 14:35:01.920,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Plano de Cargos,2025-06-02 08:05:07.347,202506
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Registros Contábeis,2025-05-21 09:59:49.130,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS DE CHAPECÓ,11827,Prefeitura Municipal de Águas de Chapecó ,Administração Direta,Tributário,2025-05-02 13:06:16.870,202501
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Atos de Pessoal,2025-02-19 12:41:20.100,202502
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Atos de Pessoal,2025-05-22 11:54:10.673,202505
Betha Sistemas,Execução Orçamentária,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Execução Orçamentária,2025-05-23 17:28:35.647,202504
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Folha de Pagamento,2025-03-12 07:14:55.317,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Folha de Pagamento,2025-06-02 10:31:32.270,202506
Betha Sistemas,Atos de Pesoal,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Folha de Pagamento,2025-02-10 09:17:51.343,202412
Betha Sistemas,Planejamento,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Gestão Fiscal,2025-03-07 07:04:50.437,202412
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Plano de Cargos,2025-03-06 11:41:02.797,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Plano de Cargos,2025-06-02 10:54:53.987,202506
Betha Sistemas,SAPO,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Registros Contábeis,2025-05-23 17:51:18.330,202504
Betha Sistemas,Atos Juridicos,ÁGUAS MORNAS,30945,Câmara Municipal de Águas Mornas ,Câmara de Vereadores,Registros Contábeis,2025-04-10 20:03:16.360,202501
Betha Sistemas,Planejamento,ÁGUAS MORNAS,80480,Controle Interno do Municipio de Águas Mornas,Unidade Central,Gestão Fiscal,2025-05-09 09:28:00.627,202502
Betha Sistemas,Planejamento,ÁGUAS MORNAS,80480,Controle Interno do Municipio de Águas Mornas,Unidade Central,LDO,2025-02-09 15:38:10.810,202501
Betha Sistemas,Planejamento,ÁGUAS MORNAS,80480,Controle Interno do Municipio de Águas Mornas,Unidade Central,LOA,2025-04-05 04:48:54.377,202503
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Atos de Pessoal,2025-03-31 08:35:47.163,202503
Betha Sistemas,Execução Orçamentária,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Execução Orçamentária,2025-05-13 16:50:06.783,202504
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Folha de Pagamento,2025-03-31 08:35:52.233,202503
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Folha de Pagamento,2025-05-22 12:31:12.993,202501
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Plano de Cargos,2025-04-01 10:33:12.747,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Plano de Cargos,2025-06-02 08:56:57.860,202506
Betha Sistemas,SAPO,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Registros Contábeis,2025-05-13 16:52:00.970,202504
Betha Sistemas,Atos Juridicos,ÁGUAS MORNAS,34446,Instituto de Previdência Social dos Servidores Públicos do Município de Águas Mornas ,Autarquia,Registros Contábeis,2025-04-16 11:51:08.283,202501
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Atos de Pessoal,2025-05-16 09:05:50.800,202505
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Atos de Pessoal,2025-04-03 10:37:47.757,202504
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Concursos,2025-04-03 10:15:01.303,202501
Betha Sistemas,Atos Juridicos,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Contratos,2025-06-03 08:39:37.883,202506
Betha Sistemas,Execução Orçamentária,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Execução Orçamentária,2025-05-19 20:21:33.160,202505
Betha Sistemas,Atos de Pesoal,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Folha de Pagamento,2025-03-21 07:53:12.867,202412
Betha Sistemas,Atos de Pessoal,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Folha de Pagamento,2025-04-08 10:20:32.557,202504
BETHA SISTEMAS LTDA,PRESTAÇÃO DE CONTAS,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Folha de Pagamento,2025-06-03 11:34:21.860,202505
Betha Sistemas,Atos Juridicos,ÁGUAS MORNAS,10480,Prefeitura Municipal de Águas Mornas ,Administração Direta,Licitações,2025-06-03 13:05:29.030,202506
